id,energy,danceability,valence,tempo
42UBPzRMh5yyz0EDPr6fr1,0.696,0.5,0.548,120.0
3QPH2xNhL7Ukcx1XYAdUwc,0.47340000000000004,0.6,0.613,120.0
79wtSYxeg5ACV5afy4KRpB,0.8303999999999999,0.7425000000000002,0.657,115.0
3ISKxnCGKc5B9zr9CTUB3v,0.634,0.6,0.667,120.0
2VbhYoAVNbADZEPmbRhw5E,0.6719999999999999,0.6499999999999999,0.7360000000000001,120.0
17wMOhLqVB3DRCmTaLjwVM,0.53,0.5,0.515,120.0
4aR9bPMAOFySBuQSbVWF3d,0.644,0.5,0.522,120.0
1qfanYrmrh7xDSvt15acZ3,0.6345,0.6749999999999999,0.7775000000000001,120.0
29m79w9xPMH4YCD6r8JSmV,0.8019000000000001,0.8112500000000001,0.677,107.5
42klh3NhK69sw8bUVLkJU7,0.52,0.5,0.51,120.0
2kDCcsW1rSwBHvkOuFWp6I,0.5634,0.6,0.663,120.0
1a19jsjG2DvbN1fVJonKUU,0.66,0.6,0.68,120.0
09LrGvT9KsACH66RHYMDyR,0.558,0.5,0.529,120.0
4qyalTRMRH5YuEntvvMvq0,0.498,0.5,0.499,120.0
59GU2OeltZirxzBLa7m5GC,0.6345,0.6749999999999999,0.7775000000000001,120.0
3GJTkh9w9IBLS0vszvekyL,0.55,0.55,0.5,120.0
1VDDoa82Oktn7FDPKBcsw8,0.628,0.6,0.664,120.0
09Z6o1yu596HJAwWZxTz4m,0.638,0.6,0.669,120.0
2qLyo5FeWquE7HBUbcVnEy,0.6984,0.55,0.522,120.0
3dYD57lRAUcMHufyqn9GcI,0.572,0.5,0.536,120.0
7IIhqqpytErf6d4xMQ7JEB,0.6499999999999999,0.6499999999999999,0.7250000000000001,120.0
3B5pWnmR739mZFh4eVdFla,0.61,0.6,0.655,120.0
3fo6DYGktjENCiagUeU9yH,0.544,0.5,0.522,120.0
3WSOUb3U7tqURbBSgZTrZX,0.6679999999999999,0.5,0.534,120.0
7qma5iUVCWjcUDnjbElqIh,0.602,0.6,0.651,120.0
1cSFlSBdpT4F5vb1frQ231,0.532,0.5,0.516,120.0
3yfqSUWxFvZELEM4PmlwIR,0.8239999999999998,0.7,0.537,103.75
6Yqw4HtJuFXleJtgzYXWzT,0.6138,0.6499999999999999,0.7410000000000001,120.0
7EqpEBPOohgk7NnKvBGFWo,0.556,0.5,0.528,120.0
5BK0uqwY9DNfZ630STAEaq,0.634,0.5,0.517,120.0
5QhJorJmjqYfETfqgBtGg3,0.5874,0.55,0.517,120.0
5AjYjRsiIPAKjRP182ocKB,0.6699999999999999,0.7,0.66,110.0
6wNeKPXF0RDKyvfKfri5hf,0.548,0.5,0.524,120.0
5dwQhzeE8LXpl9sbZJZmQS,0.522,0.5,0.511,120.0
3FrzIfTz8mMS8Xowzu3ZUj,0.5831999999999999,0.6499999999999999,0.7240000000000001,120.0
3SYPu5w0ZgV6Dl5OZzzLGw,0.5459999999999999,0.6,0.623,120.0
3Uo7WG0vmLQ07WB4BDwy7D,0.54,0.5,0.52,120.0
3dP0pLbg9OfVwssDjp9aT0,0.49860000000000004,0.5,0.527,120.0
4GBkffrtA51p17JH35irGA,0.506,0.5,0.503,120.0
2MwCoo4GeXpi8soWn9EiPo,0.688,0.7,0.669,110.0
5hc71nKsUgtwQ3z52KEKQk,0.5950000000000001,0.5,0.525,120.0
7c9qf9V6PapwNsAHTjzVI9,0.584,0.6,0.642,120.0
0sci7ppTZFm4mjcH3nu8yO,0.736,0.6,0.668,120.0
3i5MzrkgxANrO371rHlkh6,0.5148,0.55,0.484,120.0
3svSpGRGdpM6IgdFRYO5Nm,0.542,0.65,0.646,105.0
77sMIMlNaSURUAXq5coCxE,0.556,0.5,0.528,120.0
34sOdxWu9FljH84UXdRwu1,0.7094,0.55,0.527,120.0
5d2Kn9oAAh9S2EbyCo1i52,0.5,0.5,0.5,120.0
4XHQyvbrBsQaaBUW1VvmsL,0.646,0.5,0.523,120.0
5JVbvCHX10U2pLa5DEqGav,0.5760000000000001,0.5,0.538,120.0
