track_id,track_name,artist,popularity
42UBPzRMh5yyz0EDPr6fr1,Manchild,Sabrina Carpenter,98
3QPH2xNhL7Ukcx1XYAdUwc,Diwakara,Bombay Jayashri,13
79wtSYxeg5ACV5afy4KRpB,Pind Pehra,Sukha,57
3ISKxnCGKc5B9zr9CTUB3v,Bags - Recorded At Electric Lady Studios,Clairo,67
2VbhYoAVNbADZEPmbRhw5E,Sir Osthara,Suchitra,61
17wMOhLqVB3DRCmTaLjwVM,decode,Sabrina Carpenter,65
4aR9bPMAOFySBuQSbVWF3d,Smile,Lily Allen,72
1qfanYrmrh7xDSvt15acZ3,Oru Maalai,Karthik,65
29m79w9xPMH4YCD6r8JSmV,Excuses,AP Dhillon,77
42klh3NhK69sw8bUVLkJU7,Sweety,Siddharth Mahadevan,60
2kDCcsW1rSwBHvkOuFWp6I,Ola Olaala Ala,Karunya,63
1a19jsjG2DvbN1fVJonKUU,Beaches,beabadoobee,80
09LrGvT9KsACH66RHYMDyR,Don’t Smile,Sabrina Carpenter,79
4qyalTRMRH5YuEntvvMvq0,Come Back...Be Here,Taylor Swift,49
59GU2OeltZirxzBLa7m5GC,Deewani Mastani,Shreya Ghoshal,65
3GJTkh9w9IBLS0vszvekyL,Slowly,Weston Estate,50
1VDDoa82Oktn7FDPKBcsw8,O Madhu,Adnan Sami,64
09Z6o1yu596HJAwWZxTz4m,Othaiyadi Pathayila,Dhibu Ninan Thomas,69
2qLyo5FeWquE7HBUbcVnEy,emails i can’t send,Sabrina Carpenter,72
3dYD57lRAUcMHufyqn9GcI,Take Me To Church,Hozier,86
7IIhqqpytErf6d4xMQ7JEB,"Shanivaar Raati (From ""Main Tera Hero"")",Arijit Singh,50
3B5pWnmR739mZFh4eVdFla,Udi,Sunidhi Chauhan,55
3fo6DYGktjENCiagUeU9yH,Pity Party,Melanie Martinez,72
3WSOUb3U7tqURbBSgZTrZX,Casual,Chappell Roan,84
7qma5iUVCWjcUDnjbElqIh,Thinking Of You,Katy Perry,51
1cSFlSBdpT4F5vb1frQ231,The Other Side Of The Door (Taylor’s Version),Taylor Swift,66
3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,Eminem,87
6Yqw4HtJuFXleJtgzYXWzT,Endhuko Emo,Aalaap Raju,65
7EqpEBPOohgk7NnKvBGFWo,Wait for It,Leslie Odom Jr.,78
5BK0uqwY9DNfZ630STAEaq,gold rush,Taylor Swift,67
5QhJorJmjqYfETfqgBtGg3,Already Over,Sabrina Carpenter,67
5AjYjRsiIPAKjRP182ocKB,Why This Kolaveri Di? - The Soup of Love,Anirudh Ravichander,60
6wNeKPXF0RDKyvfKfri5hf,Dollhouse,Melanie Martinez,74
5dwQhzeE8LXpl9sbZJZmQS,the lakes - bonus track,Taylor Swift,61
3FrzIfTz8mMS8Xowzu3ZUj,Main Hoon Don,Shaan,49
3SYPu5w0ZgV6Dl5OZzzLGw,Chinese Restaurant,Scott Helman,23
3Uo7WG0vmLQ07WB4BDwy7D,willow,Taylor Swift,70
3dP0pLbg9OfVwssDjp9aT0,Satisfied,Renée Elise Goldsberry,77
4GBkffrtA51p17JH35irGA,‘tis the damn season,Taylor Swift,52
2MwCoo4GeXpi8soWn9EiPo,Kannazhaga - The Kiss of Love,Anirudh Ravichander,69
5hc71nKsUgtwQ3z52KEKQk,Somebody Else,The 1975,75
7c9qf9V6PapwNsAHTjzVI9,"Thinking Of You - Live At MTV Unplugged, 2009",Katy Perry,42
0sci7ppTZFm4mjcH3nu8yO,nasty,Ariana Grande,68
3i5MzrkgxANrO371rHlkh6,Dracula,Bea Miller,34
3svSpGRGdpM6IgdFRYO5Nm,Can't Get Enough (feat. Pitbull),Becky G,46
77sMIMlNaSURUAXq5coCxE,Fearless (Taylor’s Version),Taylor Swift,78
34sOdxWu9FljH84UXdRwu1,all-american bitch,Olivia Rodrigo,77
5d2Kn9oAAh9S2EbyCo1i52,Holy Ground,Taylor Swift,50
4XHQyvbrBsQaaBUW1VvmsL,My Band,D12,73
5JVbvCHX10U2pLa5DEqGav,Safe and Sound,Capital Cities,88
